loc,Latitude,Longitude
仁美國小,22.6583354,120.3927986
鳥松國中,22.6656777,120.3710003
鳥松區老人文康活動中心,22.6504081,120.3942084
大寮國小,22.5913148,120.4160991
山頂國小,22.6081356,120.3893262
後庄國小,22.636785,120.388609
忠義國小,22.5699239,120.4204353
中庄國中,22.637228,120.4021047
潮寮國中,22.5634078,120.4255072
永芳國小,22.6056213,120.3949833
昭明國小,22.5422789,120.4090451
林園高中,22.5135243,120.395044
林園國小,22.5074153,120.3932061
王公國小,22.5051227,120.3886303
金潭國小,22.5272333,120.3960713
大樹國中,22.6571335,120.4227359
龍目國小,22.6888753,120.4090378
小坪國小,22.6892221,120.4317386
大樹國小,22.6877966,120.43461
九曲國小,22.6542763,120.4238125
水寮國小,22.6681043,120.4075092
興田國小,22.7376613,120.4444619
大樹區公所,22.6933746,120.4329946
大社國中,22.730429,120.3510866
嘉誠國小,22.7482648,120.3801193
大社國小,22.7297376,120.3462728
觀音國小,22.7230299,120.351883
老人文康活動中心,22.7277196,120.353999
岡山國中,22.7917609,120.3032915
嘉興國中,22.8164247,120.3118448
前峰國中,22.78867,120.2889786
岡山國小,22.7910952,120.2937857
前峰國小,22.7923429,120.2831083
後紅國小,22.7927448,120.3033897
竹圍國小,22.8027494,120.3028676
壽天國小,22.799304,120.2922399
蔡文國小,22.8615149,120.2560025
一甲國中,22.8677875,120.2709752
路竹高中,22.8546738,120.2524155
路竹國小,22.8560774,120.2601368
大社國小,22.8663323,120.2650752
北嶺國小,22.8230465,120.2705926
一甲國小,22.8737041,120.2703382
路竹幼兒園,22.8487158,120.2778495
彌陀國小,22.783794,120.248055
茄萣國中,22.9067804,120.1834517
興達國小,22.8755182,120.1969973
茄萣國小,22.9033778,120.1829879
成功國小,22.8890134,120.1860731
砂崙國小,22.9134341,120.1825421
大湖國小,22.8876178,120.2440645
明宗國小,22.906762,120.2224752
田寮國中,22.8625377,120.3599057
高雄市立圖書館田寮分館,22.8719806,120.3594358
高雄市田寮區公所,22.8719806,120.3594358
崇德國小,22.878223,120.3801025
新興國小,22.8342544,120.3693706
復安國小,22.8493034,120.3244165
中路國小,22.8950737,120.2986815
阿蓮國小,22.883115,120.329886
阿蓮區公所,22.8826397,120.327501
內門國小,22.940734,120.457269
西門國小,22.92005,120.43035
溝坪國小,22.9933872,120.501236
景義國小,22.9562298,120.4939699
觀亭國小,22.9183046,120.4537224
內門國中,22.9185871,120.4568857
金竹國小,23.0091209,120.5140152
木柵國小,22.9756985,120.4674606
內門區公所,22.9428391,120.462606
觀亭里聯合辦公處,22.9204078,120.4558734
燕巢國中,22.7863316,120.3624926
燕巢國小,22.7956595,120.3658121
橫山國小,22.7676394,120.3791294
安招國小,22.7907339,120.3388923
金山國小,22.8110319,120.3978563
深水國小,22.777448,120.4058
燕巢區公所,22.7872117,120.3591858
燕巢區民眾活動中心,22.7863342,120.3624529
龍肚國中,22.8777329,120.5710367
龍山國小,22.86413,120.555426
吉洋國小,22.8614342,120.520244
美濃國中,22.8945406,120.5431778
廣興國小,22.9172514,120.5679221
南隆國中,22.8668348,120.5334581
龍肚國小,22.8853813,120.5796048
福安國小,22.897426,120.5200343
美濃國小,22.8995807,120.5432547
東門國小,22.9001168,120.5531295
旗山國中,22.8814503,120.4810926
嶺口國小,22.7760463,120.4489203
圓富國中,22.9284154,120.5010606
旗山國小,22.8882925,120.4811607
溪洲國小,22.8477071,120.4655688
鼓山國小,22.8985211,120.4825305
圓潭國小,22.9333706,120.5037562
旗尾國小,22.8818724,120.4919646
大洲國中,22.8356788,120.4605119
鼓山公園,22.887769,120.4771438
集來國小,23.0196683,120.5670757
上平國小,22.9770132,120.5436453
杉林國中,22.969139,120.540709
杉林國小,22.9987274,120.5491993
巴楠花部落小學,22.9639606,120.5388627
新庄國小,22.989444,120.559982
寶隆國小,23.0489745,120.5548024
甲仙國小,23.0816302,120.5884675
甲仙國中,23.0816209,120.5897649
小林國小,23.148731,120.632632
六龜高中,22.9932715,120.6354672
新威國小,22.8983321,120.6271094
新發國小,23.0299675,120.6633098
寶來國小,23.1077177,120.6985437
龍興國小,22.993434,120.645163
寶來國中,23.1094282,120.7036156
六龜國小,22.9966546,120.6345458
荖濃國小,23.07354,120.672502
六龜區公所,22.9980939,120.6333069
桃源里綜合運動場,23.1590942,120.7646084
梅山里社區運動場,,
桃源國中,23.1718243,120.7749941
桃源國小,23.1601732,120.7661545
興中國小,23.1284565,120.7190084
樟山國小,23.2530045,120.8199761
復興里運動球場,,
復興里二集團社區球場,,
茂林國中,22.8849452,120.6639377
茂林區公所,22.886187,120.663266
茂林國小,22.8860994,120.6644253
多納國小,22.911244,120.71621
永安國中,22.8182475,120.2258356
維新國小,22.8056455,120.2464534
民生國小,23.2761857,120.7205432
民權國小,23.248737,120.7028667
仁武高中,22.7026244,120.3561999
仁武特殊教育學校,22.6834108,120.3482744
仁武國小,22.7013096,120.3491818
竹後國小,22.7094624,120.3334394
